Unidade,Nivel,Modalidade,DispositivoEmCasa,n,npar,fmin,chisq,df,pvalue,baseline.chisq,baseline.df,baseline.pvalue,cfi,tli,nnfi,rfi,nfi,pnfi,ifi,rni,logl,unrestricted.logl,aic,bic,ntotal,bic2,rmsea,rmsea.ci.lower,rmsea.ci.upper,rmsea.pvalue,rmr,rmr_nomean,srmr,srmr_bentler,srmr_bentler_nomean,crmr,crmr_nomean,srmr_mplus,srmr_mplus_nomean,cn_05,cn_01,gfi,agfi,pgfi,mfi,ecvi,cfi.obs,tli.obs,rmsea.obs,rmsea.pvalue.obs
NA,Graduação (bacharelado),Presencial,NA,2609,39,0.346,1805.388,97,0,30696.7871,120,0,0.9441,0.9309,0.9309,0.9272,0.9412,0.7608,0.9442,0.9441,-37976.2712,-37073.5772,76030.5425,76259.3446,2609,76135.4304,0.0822,0.0789,0.0855,0,0.0747,0.0747,0.0544,0.0544,0.0544,0.058,0.058,0.0544,0.0544,175.8444,192.202,0.9266,0.8971,0.6609,0.7208,0.7219,NA,NA,NA,NA
Campus CECA,Graduação (bacharelado),Presencial,NA,212,39,0.5764,244.4144,97,0,2562.2172,120,0,0.9396,0.9253,0.9253,0.882,0.9046,0.7312,0.9402,0.9396,-3188.7849,-3066.5777,6455.5698,6586.4767,212,6462.8988,0.0847,0.0715,0.098,0,0.0948,0.0948,0.0734,0.0734,0.0734,0.0781,0.0781,0.0734,0.0734,105.9439,115.762,0.8854,0.8394,0.6315,0.7063,1.5208,NA,NA,NA,NA
"Campus Arapiraca (Arapiraca, Palmeira dos Índios e Penedo)",Graduação (bacharelado),Presencial,NA,448,39,0.4869,436.3007,97,0,5144.2904,120,0,0.9325,0.9165,0.9165,0.8951,0.9152,0.7398,0.9328,0.9325,-6387.7271,-6169.5767,12853.4541,13013.5411,448,12889.7707,0.0884,0.08,0.0969,0,0.058,0.058,0.0555,0.0555,0.0555,0.0591,0.0591,0.0555,0.0555,125.2339,136.8567,0.9004,0.8604,0.6422,0.6848,1.148,NA,NA,NA,NA
Instituto de Química e Biotecnologia - IQB,Graduação (bacharelado),Presencial,NA,45,39,1.7153,154.3761,97,2e-04,813.7487,120,0,0.9173,0.8977,0.8977,0.7653,0.8103,0.655,0.9199,0.9173,-527.3617,-450.1737,1132.7235,1203.1833,45,1080.9351,0.1146,0.0793,0.1477,0.0033,0.1326,0.1326,0.0869,0.0869,0.0869,0.0925,0.0925,0.0869,0.0869,36.268,39.5675,0.7176,0.6041,0.5118,0.5286,5.1639,NA,NA,poor model fit,NA
"Faculdade de Economia, Administração e Contabilidade - FEAC",Graduação (bacharelado),Presencial,NA,223,39,0.6437,287.068,97,0,2833.4452,120,0,0.93,0.9133,0.9133,0.8747,0.8987,0.7264,0.9305,0.93,-3401.1088,-3257.5748,6880.2176,7013.0973,223,6889.5014,0.0937,0.0813,0.1064,0,0.0945,0.0945,0.068,0.068,0.068,0.0724,0.0724,0.068,0.068,94.9871,103.7801,0.872,0.8205,0.6219,0.653,1.6371,NA,NA,NA,NA
Faculdade de Arquitetura e Urbanismo - FAU,Graduação (bacharelado),Presencial,NA,243,39,0.4404,214.0431,97,0,2603.4229,120,0,0.9529,0.9417,0.9417,0.8983,0.9178,0.7419,0.9533,0.9529,-3565.4854,-3458.4639,7208.9709,7345.2003,243,7221.5758,0.0705,0.0577,0.0832,0.005,0.0562,0.0562,0.056,0.056,0.056,0.0596,0.0596,0.056,0.056,138.3578,151.2084,0.9068,0.8693,0.6467,0.786,1.2018,NA,NA,NA,NA
Centro de Tecnologia - CTEC,Graduação (bacharelado),Presencial,NA,289,39,0.4247,245.4967,97,0,3551.1252,120,0,0.9567,0.9465,0.9465,0.9145,0.9309,0.7525,0.957,0.9567,-3787.3542,-3664.6058,7652.7083,7795.699,289,7672.0238,0.0728,0.0615,0.0842,6e-04,0.088,0.088,0.0626,0.0626,0.0626,0.0666,0.0666,0.0626,0.0626,143.4296,156.7547,0.9124,0.8772,0.6507,0.7734,1.1194,NA,NA,NA,NA
Campus Sertão (Delmiro Gouveia e Santana do Ipanema),Graduação (bacharelado),Presencial,NA,141,39,0.8391,236.6377,97,0,1795.9281,120,0,0.9167,0.8969,0.8969,0.837,0.8682,0.7018,0.9178,0.9167,-1915.7442,-1797.4253,3909.4883,4024.49,141,3901.0952,0.101,0.0848,0.1174,0,0.1257,0.1257,0.095,0.095,0.095,0.1011,0.1011,0.095,0.095,73.0914,79.8359,0.8431,0.78,0.6013,0.6095,2.2315,NA,NA,poor model fit,NA
Instituto de Psicologia - IP,Graduação (bacharelado),Presencial,NA,79,39,0.9654,152.5259,97,3e-04,1051.128,120,0,0.9404,0.9262,0.9262,0.8205,0.8549,0.691,0.9418,0.9404,-1114.9748,-1038.7119,2307.9496,2400.3581,79,2277.389,0.0851,0.0581,0.1102,0.0195,0.1594,0.1594,0.1016,0.1016,0.1016,0.1082,0.1082,0.1016,0.1016,63.666,69.5287,0.8268,0.7571,0.5897,0.7037,2.918,NA,NA,NA,NA
NA,Graduação (licenciatura),Presencial,NA,1203,39,0.3979,957.4051,97,0,14139.9726,120,0,0.9386,0.9241,0.9241,0.9162,0.9323,0.7536,0.9387,0.9386,-18669.9474,-18191.2449,37417.8948,37616.5052,1203,37492.6258,0.0859,0.081,0.0909,0,0.0639,0.0639,0.0574,0.0574,0.0574,0.0611,0.0611,0.0574,0.0574,153.0261,167.2489,0.9207,0.8888,0.6566,0.6993,0.8607,NA,NA,NA,NA
