Unidade,Nivel,Modalidade,DispositivoEmCasa,n,npar,fmin,chisq,df,pvalue,baseline.chisq,baseline.df,baseline.pvalue,cfi,tli,nnfi,rfi,nfi,pnfi,ifi,rni,logl,unrestricted.logl,aic,bic,ntotal,bic2,rmsea,rmsea.ci.lower,rmsea.ci.upper,rmsea.pvalue,rmr,rmr_nomean,srmr,srmr_bentler,srmr_bentler_nomean,crmr,crmr_nomean,srmr_mplus,srmr_mplus_nomean,cn_05,cn_01,gfi,agfi,pgfi,mfi,ecvi,cfi.obs,tli.obs,rmsea.obs,rmsea.pvalue.obs
Campus Sertão (Delmiro Gouveia e Santana do Ipanema),NA,Presencial,NA,234,37,0.7572,354.3762,99,0,2783.6197,120,0,0.9041,0.8838,0.8838,0.8457,0.8727,0.72,0.9049,0.9041,-3522.0399,-3344.8518,7118.0797,7245.9266,234,7128.6535,0.105,0.0933,0.1169,0,0.2158,0.2158,0.132,0.132,0.132,0.1401,0.1401,0.1317,0.1317,82.3675,89.9059,0.8495,0.7932,0.6184,0.5795,1.8307,NA,NA,poor model fit,NA
Instituto de Educação Física e Esporte - IEFE,NA,Presencial,NA,77,37,1.2547,193.2221,99,0,1045.5329,120,0,0.8982,0.8766,0.8766,0.776,0.8152,0.6725,0.9005,0.8982,-1138.5977,-1041.9867,2351.1955,2437.9163,77,2321.2771,0.1112,0.0877,0.1344,1e-04,0.3091,0.3091,0.1838,0.1838,0.1838,0.1949,0.1949,0.1832,0.1832,50.1059,54.6554,0.769,0.6826,0.5598,0.5424,3.4704,NA,NA,poor model fit,NA
Instituto de Psicologia - IP,NA,Presencial,NA,106,37,0.8587,182.0503,99,0,1370.0625,120,0,0.9336,0.9195,0.9195,0.8389,0.8671,0.7154,0.9347,0.9336,-1664.9217,-1573.8966,3403.8434,3502.3907,106,3385.4943,0.089,0.0684,0.1091,0.0017,0.2481,0.2481,0.149,0.149,0.149,0.1579,0.1579,0.1485,0.1485,72.7487,79.396,0.8346,0.7728,0.6076,0.6759,2.4156,NA,NA,NA,NA
Instituto de Ciências Sociais - ICS,NA,Presencial,NA,37,37,1.9732,146.0133,99,0.0015,602.1631,120,0,0.9025,0.8818,0.8818,0.7061,0.7575,0.625,0.9066,0.9025,-576.9723,-503.9656,1227.9446,1287.5485,37,1171.9084,0.1133,0.0713,0.1509,0.0114,0.3317,0.3317,0.1868,0.1868,0.1868,0.1985,0.1985,0.1865,0.1865,32.2255,35.1184,0.7139,0.607,0.5197,0.5298,5.9463,NA,NA,poor model fit,NA
NA,Graduação (bacharelado),Presencial,NA,2609,37,0.452,2358.5388,99,0,30696.7871,120,0,0.9261,0.9104,0.9104,0.9069,0.9232,0.7616,0.9262,0.9261,-38252.8466,-37073.5772,76579.6933,76796.762,2609,76679.2024,0.0935,0.0903,0.0968,0,0.187,0.187,0.1187,0.1187,0.1187,0.1261,0.1261,0.1185,0.1185,137.3109,149.9397,0.8982,0.8602,0.6539,0.6485,0.9324,NA,NA,NA,NA
Campus CECA,Graduação (bacharelado),Presencial,NA,212,37,0.6751,286.2607,99,0,2562.2172,120,0,0.9233,0.9071,0.9071,0.8646,0.8883,0.7328,0.924,0.9233,-3209.7081,-3066.5777,6493.4161,6617.6098,212,6500.3693,0.0945,0.0818,0.1073,0,0.1907,0.1907,0.1218,0.1218,0.1218,0.1295,0.1295,0.1217,0.1217,92.2586,100.7134,0.8627,0.8114,0.628,0.643,1.6993,NA,NA,NA,NA
"Campus Arapiraca (Arapiraca, Palmeira dos Índios e Penedo)",Graduação (bacharelado),Presencial,NA,448,37,0.5728,513.1962,99,0,5144.2904,120,0,0.9176,0.9001,0.9001,0.8791,0.9002,0.7427,0.9179,0.9176,-6426.1748,-6169.5767,12926.3496,13078.227,448,12960.8038,0.0966,0.0885,0.105,0,0.1461,0.1461,0.1103,0.1103,0.1103,0.1173,0.1173,0.1102,0.1102,108.5707,118.5368,0.8786,0.8332,0.6396,0.6299,1.3107,NA,NA,NA,NA
Instituto de Química e Biotecnologia - IQB,Graduação (bacharelado),Presencial,NA,45,37,1.8225,164.0291,99,0,813.7487,120,0,0.9063,0.8864,0.8864,0.7557,0.7984,0.6587,0.909,0.9063,-532.1882,-450.1737,1138.3765,1205.223,45,1089.244,0.1208,0.087,0.153,0.0011,0.2143,0.2143,0.1504,0.1504,0.1504,0.1601,0.1601,0.1504,0.1504,34.8058,37.9378,0.7064,0.5967,0.5142,0.4855,5.2895,NA,NA,poor model fit,NA
"Faculdade de Economia, Administração e Contabilidade - FEAC",Graduação (bacharelado),Presencial,NA,223,37,0.8665,386.4468,99,0,2833.4452,120,0,0.8941,0.8716,0.8716,0.8347,0.8636,0.7125,0.8949,0.8941,-3450.7982,-3257.5748,6975.5963,7101.6617,223,6984.4041,0.1141,0.1022,0.1262,0,0.3155,0.3155,0.1709,0.1709,0.1709,0.181,0.181,0.1702,0.1702,72.1074,78.6953,0.8225,0.7561,0.5987,0.5249,2.0648,NA,NA,poor model fit,NA
Faculdade de Arquitetura e Urbanismo - FAU,Graduação (bacharelado),Presencial,NA,243,37,0.4917,238.989,99,0,2603.4229,120,0,0.9436,0.9317,0.9317,0.8887,0.9082,0.7493,0.9441,0.9436,-3577.9584,-3458.4639,7229.9168,7359.1601,243,7241.8754,0.0763,0.064,0.0887,4e-04,0.1125,0.1125,0.085,0.085,0.085,0.0905,0.0905,0.085,0.085,126.2933,137.9013,0.8945,0.8551,0.6512,0.7497,1.288,NA,NA,NA,NA
Centro de Tecnologia - CTEC,Graduação (bacharelado),Presencial,NA,289,37,0.4946,285.904,99,0,3551.1252,120,0,0.9455,0.934,0.934,0.9024,0.9195,0.7586,0.9459,0.9455,-3807.5578,-3664.6058,7689.1156,7824.7733,289,7707.4405,0.0808,0.07,0.0918,0,0.1711,0.1711,0.1156,0.1156,0.1156,0.1228,0.1228,0.1154,0.1154,125.5596,137.0996,0.8955,0.8564,0.6519,0.7237,1.2453,NA,NA,NA,NA
Campus Sertão (Delmiro Gouveia e Santana do Ipanema),Graduação (bacharelado),Presencial,NA,141,37,0.9525,268.5929,99,0,1795.9281,120,0,0.8988,0.8773,0.8773,0.8187,0.8504,0.7016,0.9001,0.8988,-1931.7218,-1797.4253,3937.4435,4046.5476,141,3929.4808,0.1102,0.0945,0.1262,0,0.1902,0.1902,0.1354,0.1354,0.1354,0.1438,0.1438,0.1352,0.1352,65.6881,71.6812,0.8197,0.7523,0.5967,0.548,2.4297,NA,NA,poor model fit,NA
Instituto de Psicologia - IP,Graduação (bacharelado),Presencial,NA,79,37,1.0847,171.3822,99,0,1051.128,120,0,0.9223,0.9058,0.9058,0.8024,0.837,0.6905,0.924,0.9223,-1124.4029,-1038.7119,2322.8059,2410.4755,79,2293.8125,0.0962,0.0715,0.12,0.0022,0.2284,0.2284,0.1551,0.1551,0.1551,0.1645,0.1645,0.1547,0.1547,57.8017,63.0642,0.8046,0.7316,0.5857,0.6325,3.1061,NA,NA,NA,NA
NA,Graduação (licenciatura),Presencial,NA,1203,37,0.4839,1164.2651,99,0,14139.9726,120,0,0.924,0.9079,0.9079,0.9002,0.9177,0.7571,0.9241,0.924,-18773.3774,-18191.2449,37620.7548,37809.18,1203,37691.6535,0.0946,0.0897,0.0995,0,0.1734,0.1734,0.1119,0.1119,0.1119,0.119,0.119,0.1118,0.1118,128.3249,140.1211,0.8981,0.86,0.6538,0.6423,1.0293,NA,NA,NA,NA
"Campus Arapiraca (Arapiraca, Palmeira dos Índios e Penedo)",Graduação (licenciatura),Presencial,NA,308,37,0.5172,318.582,99,0,3751.9815,120,0,0.9395,0.9267,0.9267,0.8971,0.9151,0.7549,0.9399,0.9395,-4401.1658,-4241.8748,8876.3317,9014.3454,308,8896.9969,0.0849,0.0745,0.0954,0,0.1387,0.1387,0.1092,0.1092,0.1092,0.1162,0.1162,0.1092,0.1092,120.1322,131.1694,0.8959,0.857,0.6522,0.7001,1.2746,NA,NA,NA,NA
"Instituto de Ciências Humanas, Comunicação e Artes - ICHCA",Graduação (licenciatura),Presencial,NA,142,37,0.8752,248.5523,99,0,1821.3393,120,0,0.9121,0.8935,0.8935,0.8346,0.8635,0.7124,0.9132,0.9121,-2287.7686,-2163.4924,4649.5372,4758.9028,142,4641.8323,0.1031,0.0872,0.1192,0,0.2338,0.2338,0.1378,0.1378,0.1378,0.1465,0.1465,0.1377,0.1377,71.3996,77.9219,0.8253,0.76,0.6008,0.5906,2.2715,NA,NA,poor model fit,NA
Faculdade de Letras - FALE,Graduação (licenciatura),Presencial,NA,119,37,0.5619,133.7289,99,0.0115,1747.3466,120,0,0.9787,0.9741,0.9741,0.9072,0.9235,0.7619,0.9789,0.9787,-1667.1221,-1600.2576,3408.2441,3511.0717,119,3394.1004,0.0543,0.0269,0.0765,0.3679,0.1626,0.1626,0.1082,0.1082,0.1082,0.1151,0.1151,0.1081,0.1081,110.6532,120.8122,0.8799,0.835,0.6405,0.8642,1.7456,NA,NA,NA,the model has close fit
Centro de Educação - CEDU,Graduação (licenciatura),Presencial,NA,330,37,0.5194,342.7763,99,0,3739.6553,120,0,0.9327,0.9184,0.9184,0.8889,0.9083,0.7494,0.933,0.9327,-5029.5218,-4858.1337,10133.0437,10273.6101,330,10156.2457,0.0864,0.0765,0.0965,0,0.1579,0.1579,0.1086,0.1086,0.1086,0.1155,0.1155,0.1085,0.1085,119.6322,130.6231,0.8909,0.8502,0.6486,0.6912,1.263,NA,NA,NA,NA
Campus Sertão (Delmiro Gouveia e Santana do Ipanema),Graduação (licenciatura),Presencial,NA,92,37,1.1448,210.6379,99,0,1128.3288,120,0,0.8893,0.8658,0.8658,0.7737,0.8133,0.671,0.8915,0.8893,-1443.528,-1338.209,2961.056,3054.3622,92,2937.5699,0.1107,0.09,0.1314,0,0.2712,0.2712,0.1533,0.1533,0.1533,0.1629,0.1629,0.1531,0.1531,54.8209,59.8072,0.7833,0.7024,0.5702,0.5451,3.0939,NA,NA,poor model fit,NA
