Unidade,Nivel,Modalidade,DispositivoEmCasa,n,npar,fmin,chisq,df,pvalue,baseline.chisq,baseline.df,baseline.pvalue,cfi,tli,nnfi,rfi,nfi,pnfi,ifi,rni,logl,unrestricted.logl,aic,bic,ntotal,bic2,rmsea,rmsea.ci.lower,rmsea.ci.upper,rmsea.pvalue,rmr,rmr_nomean,srmr,srmr_bentler,srmr_bentler_nomean,crmr,crmr_nomean,srmr_mplus,srmr_mplus_nomean,cn_05,cn_01,gfi,agfi,pgfi,mfi,ecvi,cfi.obs,tli.obs,rmsea.obs,rmsea.pvalue.obs
Campus CECA,Graduação (bacharelado),NA,NA,212,32,0.2572,109.0674,59,1e-04,2096.0367,78,0,0.9752,0.9672,0.9672,0.9312,0.948,0.7171,0.9754,0.9752,-2755.9387,-2701.4049,5575.8773,5683.2881,212,5581.8908,0.0633,0.0443,0.0817,0.1175,0.1376,0.1376,0.0807,0.0807,0.0807,0.0872,0.0872,0.0807,0.0807,152.4776,170.4285,0.9281,0.8891,0.6017,0.8886,0.8164,NA,NA,NA,model fit is worse
"Campus Arapiraca (Arapiraca, Palmeira dos Índios e Penedo)",Graduação (bacharelado),NA,NA,450,32,0.1565,140.8905,59,0,4200.5199,78,0,0.9801,0.9737,0.9737,0.9557,0.9665,0.731,0.9802,0.9801,-5627.7829,-5557.3376,11319.5657,11451.0617,450,11349.5059,0.0555,0.0438,0.0674,0.2089,0.0794,0.0794,0.0621,0.0621,0.0621,0.0671,0.0671,0.0621,0.0621,249.9077,279.4046,0.9532,0.9279,0.618,0.913,0.4553,NA,NA,NA,model fit is worse
Instituto de Química e Biotecnologia - IQB,Graduação (bacharelado),NA,NA,45,32,0.8539,76.855,59,0.0591,634.4452,78,0,0.9679,0.9576,0.9576,0.8399,0.8789,0.6648,0.969,0.9679,-458.1046,-419.6771,980.2093,1038.0225,45,937.7163,0.082,0,0.1296,0.1724,0.1773,0.1773,0.1088,0.1088,0.1088,0.1175,0.1175,0.1088,0.1088,46.6298,52.0371,0.8026,0.6955,0.5204,0.8201,3.1301,NA,NA,NA,model fit is worse
"Faculdade de Economia, Administração e Contabilidade - FEAC",Graduação (bacharelado),NA,NA,223,32,0.2458,109.6048,59,1e-04,2312.2949,78,0,0.9774,0.9701,0.9701,0.9373,0.9526,0.7206,0.9775,0.9774,-3009.7393,-2954.9369,6083.4787,6192.5082,223,6091.0962,0.062,0.0436,0.0799,0.133,0.1432,0.1432,0.0727,0.0727,0.0727,0.0785,0.0785,0.0727,0.0727,159.5561,178.3458,0.9306,0.893,0.6034,0.8927,0.7785,NA,NA,NA,model fit is worse
"Instituto de Ciências Humanas, Comunicação e Artes - ICHCA",Graduação (bacharelado),NA,NA,108,32,0.322,69.5596,59,0.1635,996.8398,78,0,0.9885,0.9848,0.9848,0.9077,0.9302,0.7036,0.9887,0.9885,-1502.4375,-1467.6577,3068.875,3154.7032,108,3053.5927,0.0407,0,0.0747,0.6366,0.1224,0.1224,0.0693,0.0693,0.0693,0.0748,0.0748,0.0693,0.0693,121.997,136.3358,0.9126,0.8652,0.5917,0.9523,1.2367,NA,NA,NA,NA
Faculdade de Arquitetura e Urbanismo - FAU,Graduação (bacharelado),NA,NA,243,32,0.1552,75.4175,59,0.0735,2075.3849,78,0,0.9918,0.9891,0.9891,0.952,0.9637,0.7289,0.9919,0.9918,-3127.8649,-3090.1562,6319.7298,6431.5078,243,6330.0724,0.0338,0,0.0547,0.8912,0.0509,0.0509,0.0416,0.0416,0.0416,0.0449,0.0449,0.0416,0.0416,252.0972,281.8536,0.9567,0.9332,0.6203,0.9668,0.5737,NA,NA,NA,NA
Centro de Tecnologia - CTEC,Graduação (bacharelado),NA,NA,289,32,0.1481,85.6133,59,0.0134,3000.0935,78,0,0.9909,0.988,0.988,0.9623,0.9715,0.7348,0.991,0.9909,-3378.2687,-3335.4621,6820.5375,6937.8632,289,6836.3861,0.0395,0.0186,0.057,0.8264,0.0855,0.0855,0.0604,0.0604,0.0604,0.0652,0.0652,0.0604,0.0604,264.0657,295.2405,0.9555,0.9313,0.6195,0.955,0.5177,NA,NA,NA,NA
Campus Sertão (Delmiro Gouveia e Santana do Ipanema),Graduação (bacharelado),NA,NA,141,32,0.3968,111.8902,59,0,1451.4402,78,0,0.9615,0.9491,0.9491,0.8981,0.9229,0.6981,0.962,0.9615,-1746.8996,-1690.9545,3557.7993,3652.1596,141,3550.9126,0.0797,0.0568,0.1021,0.0188,0.1063,0.1063,0.076,0.076,0.076,0.0821,0.0821,0.076,0.076,99.2053,110.8431,0.8936,0.8359,0.5794,0.829,1.2474,NA,NA,NA,model fit is worse
Instituto de Educação Física e Esporte - IEFE,Graduação (bacharelado),NA,NA,44,32,0.8572,75.4318,59,0.0733,546.6273,78,0,0.9649,0.9536,0.9536,0.8176,0.862,0.652,0.9663,0.9649,-573.4572,-535.7413,1210.9144,1268.0085,44,1167.7332,0.0796,0,0.1285,0.1976,0.2066,0.2066,0.1405,0.1405,0.1405,0.1518,0.1518,0.1405,0.1405,46.4575,51.8445,0.8153,0.7152,0.5286,0.8297,3.1689,NA,NA,NA,model fit is worse
Instituto de Psicologia - IP,Graduação (bacharelado),NA,NA,79,32,0.4408,69.6449,59,0.1618,845.1611,78,0,0.9861,0.9817,0.9817,0.8911,0.9176,0.6941,0.9865,0.9861,-1003.7099,-968.8874,2071.4197,2147.2421,79,2046.3444,0.0478,0,0.0875,0.5077,0.1316,0.1316,0.1033,0.1033,0.1033,0.1116,0.1116,0.1033,0.1033,89.3985,99.8743,0.8825,0.8188,0.5722,0.9348,1.6917,NA,NA,NA,NA
