UserID,Unidade,Nivel,Modalidade
f96b3cae55cc615a4a569e6730f326f6,Instituto de Química e Biotecnologia - IQB,Graduação (licenciatura),Presencial
ae84f5b51564314602b18aa394ea27fe,"Instituto de Ciências Humanas, Comunicação e Artes - ICHCA",Graduação (bacharelado),Presencial
ccebbfd8b5362e69295c707443ef9ae7,Centro de Tecnologia - CTEC,Graduação (bacharelado),Presencial
79052579c7b7623619460cc521c4d251,"Campus Arapiraca (Arapiraca, Palmeira dos Índios e Penedo)",Graduação (bacharelado),Presencial
b9bc428fab3125e774f36c706ddff51c,Centro de Tecnologia - CTEC,Graduação (bacharelado),Presencial
f6625e8d49db9242b3f006b12a92fa59,Centro de Educação - CEDU,Graduação (licenciatura),Educação a Distância
f2610ffab09adad779b5a50c72c4e21d,Instituto de Ciências Biológicas e da Saúde - ICBS,Graduação (licenciatura),Presencial
9c8dde7f39caaecb131819bd61168d23,Centro de Tecnologia - CTEC,Graduação (bacharelado),Presencial
1c0c97ac9d6fd6fa7c258004e0dba977,"Faculdade de Economia, Administração e Contabilidade - FEAC",Graduação (bacharelado),Presencial
7f5d0e8019b68a56d583b0f81a7b2122,"Instituto de Ciências Humanas, Comunicação e Artes - ICHCA",Graduação (licenciatura),Presencial
6d4a8b22c2b170a28311eae523a4f999,Instituto de Educação Física e Esporte - IEFE,Graduação (licenciatura),Presencial
cc062ebbde8b16d2cfadef94acac5db4,"Campus Arapiraca (Arapiraca, Palmeira dos Índios e Penedo)",Graduação (bacharelado),Presencial
5cefabeeb1dfc9727f9b861fae2ce183,Centro de Tecnologia - CTEC,Graduação (bacharelado),Presencial
fc99956597cdde000de49dbef27d5623,Faculdade de Arquitetura e Urbanismo - FAU,Graduação (bacharelado),Presencial
52ca6a674a462b9e78c38f8536243069,Faculdade de Direito - FDA,Graduação (bacharelado),Presencial
7c411fd204ffd87d352df5204323e381,Campus Sertão (Delmiro Gouveia e Santana do Ipanema),Graduação (bacharelado),Presencial
4ba75c4cd8a5de9adcf2eb041bfdd27c,Campus Sertão (Delmiro Gouveia e Santana do Ipanema),Graduação (bacharelado),Presencial
b71e65b239fb494b60c3b3a4050b4ed1,"Faculdade de Economia, Administração e Contabilidade - FEAC",Graduação (bacharelado),Presencial
6470ca618634ead08de5b49c0dac8a89,Campus CECA,Graduação (bacharelado),Presencial
543d1da5e48d7849930f2db86535f1bc,Faculdade de Nutrição - FANUT,Graduação (bacharelado),Presencial
d395beb79d2276ee369023cecd5f39c2,"Campus Arapiraca (Arapiraca, Palmeira dos Índios e Penedo)",Graduação (licenciatura),Educação a Distância
20342ff333eaf32607d76a9f3f6c2713,Campus Sertão (Delmiro Gouveia e Santana do Ipanema),Graduação (licenciatura),Educação a Distância
3fcf8ceb99040fdf4a63b1613778fcfe,"Campus Arapiraca (Arapiraca, Palmeira dos Índios e Penedo)",Graduação (licenciatura),Educação a Distância
d5998d50514aa337df592b0c69347a96,"Instituto de Geografia, Desenvolvimento e Meio Ambiente - IGDEMA",Graduação (licenciatura),Educação a Distância
0f7be445076e8fdd98df0dfaa387514a,"Campus Arapiraca (Arapiraca, Palmeira dos Índios e Penedo)",Graduação (licenciatura),Educação a Distância
812cfac74675b7e29954794666506218,"Campus Arapiraca (Arapiraca, Palmeira dos Índios e Penedo)",Graduação (licenciatura),Educação a Distância
71af75b84761aec5931fb9717ed5dd37,"Instituto de Geografia, Desenvolvimento e Meio Ambiente - IGDEMA",Graduação (licenciatura),Educação a Distância
0f544d30974c9a3dd8bde16ecc7218e9,"Instituto de Geografia, Desenvolvimento e Meio Ambiente - IGDEMA",Graduação (licenciatura),Educação a Distância
d2df2d63f87aebc88a8477280e7711c7,"Campus Arapiraca (Arapiraca, Palmeira dos Índios e Penedo)",Graduação (licenciatura),Educação a Distância
12e67c6133fc9934475d0b94ef9f7d6c,"Campus Arapiraca (Arapiraca, Palmeira dos Índios e Penedo)",Graduação (licenciatura),Educação a Distância
f0dbf468777093fb36bc96e385c63344,"Campus Arapiraca (Arapiraca, Palmeira dos Índios e Penedo)",Graduação (licenciatura),Educação a Distância
4b4e0cb256862f903946f5febf029201,"Instituto de Geografia, Desenvolvimento e Meio Ambiente - IGDEMA",Graduação (licenciatura),Educação a Distância
a578f89749d5a434894e111d11c9d86e,"Instituto de Geografia, Desenvolvimento e Meio Ambiente - IGDEMA",Graduação (licenciatura),Educação a Distância
442957ca8323f103279de9e79b86f063,"Instituto de Geografia, Desenvolvimento e Meio Ambiente - IGDEMA",Graduação (licenciatura),Educação a Distância
67d32bf302c2617d1e2a9fc77085ab96,"Instituto de Geografia, Desenvolvimento e Meio Ambiente - IGDEMA",Graduação (licenciatura),Educação a Distância
b3d39681e155cb5c2220157c854c8317,"Instituto de Geografia, Desenvolvimento e Meio Ambiente - IGDEMA",Graduação (licenciatura),Educação a Distância
c5be2811811bb20b33ab9746e226fa7d,"Campus Arapiraca (Arapiraca, Palmeira dos Índios e Penedo)",Graduação (licenciatura),Educação a Distância
1511770d3ac72e412c975fe6f5fce6b6,"Instituto de Geografia, Desenvolvimento e Meio Ambiente - IGDEMA",Graduação (licenciatura),Educação a Distância
0c99460f227d20db0de5ba2948ec8ee2,Faculdade de Arquitetura e Urbanismo - FAU,Graduação (bacharelado),Presencial
060e728698181609e610354d27547996,"Instituto de Ciências Humanas, Comunicação e Artes - ICHCA",Graduação (bacharelado),Presencial
825e9f342391b032f8deb72e4bee48ad,Faculdade de Nutrição - FANUT,Graduação (bacharelado),Presencial
94e012f086f7445df1021da626cbb440,Faculdade de Odontologia - FOUFAL,Graduação (bacharelado),Presencial
f3352e4a583af5c3e46b0e738fcdc5f8,Instituto de Ciências Sociais - ICS,Graduação (licenciatura),Presencial
dcc5c689f3d7f9013a5c9fbf718367f2,"Instituto de Ciências Humanas, Comunicação e Artes - ICHCA",Graduação (licenciatura),Presencial
851adb800d2e85042e1efe06e28f2335,Instituto de Psicologia - IP,Graduação (bacharelado),Presencial
